1   Microsoft Corporation	MSFT	5.52383	   182.11	-1.14	(-0.62%)
263	Equifax Inc.	EFX	0.073055	   155.05	1.49	(0.97%)
264	V.F. Corporation	VFC	0.072884	   58.07	1.97	(3.51%)
265	Church & Dwight Co. Inc.	CHD	0.072668	   75.30	0.23	(0.31%)
266	Copart Inc.	CPRT	0.072542	   88.13	-1.26	(-1.41%)
267	First Republic Bank	FRC	0.072058	   108.80	0.63	(0.58%)
268	Ameren Corporation	AEE	0.071936	   74.37	-0.36	(-0.48%)
269	Tyson Foods Inc. Class A	TSN	0.071693	   62.61	1.17	(1.90%)
270	Incyte Corporation	INCY	0.071279	   100.30	-1.61	(-1.58%)
271	Republic Services Inc.	RSG	0.071178	   85.05	-0.41	(-0.48%)
272	Fortive Corp.	FTV	0.071156	   62.17	1.19	(1.95%)
273	Best Buy Co. Inc.	BBY	0.070488	   77.50	-0.59	(-0.76%)
274	Ameriprise Financial Inc.	AMP	0.070408	   143.94	3.87	(2.76%)
275	Simon Property Group Inc.	SPG	0.070188	   61.60	3.90	(6.76%)
276	Align Technology Inc.	ALGN	0.06981	   250.00	4.38	(1.78%)
277	Corning Inc	GLW	0.069483	   22.74	-0.05	(-0.22%)
278	Arthur J. Gallagher & Co.	AJG	0.068883	   94.46	0.18	(0.19%)
279	Akamai Technologies Inc.	AKAM	0.067745	   105.81	0.01	(0.01%)
280	Citrix Systems Inc.	CTXS	0.067514	   146.65	-1.47	(-0.99%)
281	Laboratory Corporation of America Holdings	LH	0.067316	   177.02	1.70	(0.97%)
282	Lennar Corporation Class A	LEN	0.067097	   60.14	-0.32	(-0.53%)
283	Southwest Airlines Co.	LUV	0.067012	   33.62	1.52	(4.74%)
284	Conagra Brands Inc.	CAG	0.066672	   34.72	-0.07	(-0.20%)
285	Northern Trust Corporation	NTRS	0.066388	   80.67	1.66	(2.10%)
286	Teleflex Incorporated	TFX	0.066255	   365.48	2.62	(0.72%)
287	Carrier Global Corp.	CARR	0.06589	   21.82	1.35	(6.60%)
288	CMS Energy Corporation	CMS	0.065763	   59.01	0.43	(0.73%)
289	Amcor PLC	AMCR	0.065584	   10.18	-0.03	(-0.29%)
290	LyondellBasell Industries NV	LYB	0.064725	   65.34	1.58	(2.48%)
291	Old Dominion Freight Line Inc.	ODFL	0.064622	   168.00	-3.09	(-1.81%)
292	Kellogg Company	K	0.064325	   66.11	0.80	(1.22%)
293	Las Vegas Sands Corp.	LVS	0.064199	   49.03	1.09	(2.27%)
294	Cardinal Health Inc.	CAH	0.063399	   54.70	0.01	(0.02%)
295	West Pharmaceutical Services Inc.	WST	0.063197	   212.14	-3.90	(-1.81%)
296	CDW Corp.	CDW	0.063162	   111.91	1.00	(0.90%)
297	Essex Property Trust Inc.	ESS	0.062827	   246.91	4.14	(1.71%)
298	Quest Diagnostics Incorporated	DGX	0.062186	   118.44	0.16	(0.14%)
299	Maxim Integrated Products Inc.	MXIM	0.061719	   57.86	0.18	(0.31%)
300	Cooper Companies Inc.	COO	0.0615	   315.18	-1.80	(-0.57%)
301	Take-Two Interactive Software Inc.	TTWO	0.060255	   135.01	-1.16	(-0.85%)
302	Pioneer Natural Resources Company	PXD	0.06014	   92.91	1.31	(1.43%)
303	ONEOK Inc.	OKE	0.05974	   38.14	1.45	(3.95%)
304	Domino's Pizza Inc.	DPZ	0.059266	   383.58	-2.26	(-0.59%)
305	Weyerhaeuser Company	WY	0.059188	   21.05	0.86	(4.26%)
306	Kansas City Southern	KSU	0.059128	   149.27	-1.25	(-0.83%)
307	Discover Financial Services	DFS	0.059042	   49.84	2.33	(4.90%)
308	CBRE Group Inc. Class A	CBRE	0.058204	   44.14	0.16	(0.36%)
309	Paycom Software Inc.	PAYC	0.057647	   305.61	8.38	(2.82%)
310	Delta Air Lines Inc.	DAL	0.057368	   26.17	0.96	(3.81%)
311	CarMax Inc.	KMX	0.05733	   90.09	2.04	(2.32%)
312	Tractor Supply Company	TSCO	0.057121	   122.60	0.58	(0.48%)
313	AmerisourceBergen Corporation	ABC	0.056795	   95.15	-0.19	(-0.20%)
314	Vulcan Materials Company	VMC	0.056599	   107.34	-0.98	(-0.90%)
315	International Flavors & Fragrances Inc.	IFF	0.056319	   131.02	-2.17	(-1.63%)
316	Hologic Inc.	HOLX	0.056102	   53.25	0.25	(0.47%)
317	Zebra Technologies Corporation Class A	ZBRA	0.055924	   264.97	3.65	(1.40%)
318	Dover Corporation	DOV	0.055914	   97.75	0.50	(0.51%)
319	STERIS Plc	STE	0.055799	   165.65	-0.24	(-0.14%)
320	Evergy Inc.	EVRG	0.055776	   62.96	1.27	(2.06%)
321	Leidos Holdings Inc.	LDOS	0.055528	   105.98	0.69	(0.66%)
322	Ulta Beauty Inc	ULTA	0.055351	   238.78	-5.23	(-2.14%)
323	M&T Bank Corporation	MTB	0.055283	   108.53	2.87	(2.72%)
324	Broadridge Financial Solutions Inc.	BR	0.054793	   122.23	1.13	(0.93%)
325	Hartford Financial Services Group Inc.	HIG	0.054596	   38.87	0.58	(1.51%)
326	Fifth Third Bancorp	FITB	0.054591	   19.82	0.43	(2.22%)
327	Jack Henry & Associates Inc.	JKHY	0.054555	   180.72	-0.14	(-0.08%)
328	Tiffany & Co.	TIF	0.054382	   128.50	0.37	(0.29%)
329	Nasdaq Inc.	NDAQ	0.053869	   117.63	-0.83	(-0.70%)
330	Hormel Foods Corporation	HRL	0.053803	   48.85	0.02	(0.04%)
331	W.W. Grainger Inc.	GWW	0.053543	   305.94	-3.68	(-1.19%)
332	International Paper Company	IP	0.05296	   34.73	0.68	(2.00%)
333	Masco Corporation	MAS	0.052523	   46.70	0.05	(0.11%)
334	Mid-America Apartment Communities Inc.	MAA	0.052232	   117.57	1.21	(1.04%)
335	Freeport-McMoRan Inc.	FCX	0.052057	   9.34	0.27	(2.98%)
336	Garmin Ltd.	GRMN	0.051585	   90.00	-0.17	(-0.19%)
337	Western Digital Corporation	WDC	0.05142	   43.07	-1.30	(-2.93%)
338	Expeditors International of Washington Inc.	EXPD	0.051417	   75.59	-0.78	(-1.02%)
339	NortonLifeLock Inc.	NLOK	0.051278	   21.71	-1.07	(-4.70%)
340	J.M. Smucker Company	SJM	0.05108	   115.32	1.39	(1.22%)
341	Ventas Inc.	VTR	0.051077	   35.50	0.55	(1.57%)
342	Waters Corporation	WAT	0.051077	   199.67	-0.18	(-0.09%)
343	Nucor Corporation	NUE	0.050962	   42.46	0.20	(0.47%)
344	FMC Corporation	FMC	0.050554	   98.88	0.47	(0.48%)
345	Arista Networks Inc.	ANET	0.050298	   234.64	1.18	(0.51%)
346	Duke Realty Corporation	DRE	0.05028	   35.20	0.72	(2.09%)
347	Hewlett Packard Enterprise Co.	HPE	0.049799	   9.76	0.05	(0.51%)
348	Extra Space Storage Inc.	EXR	0.049646	   98.82	2.07	(2.14%)
349	Boston Properties Inc.	BXP	0.048969	   89.00	3.02	(3.51%)
350	Atmos Energy Corporation	ATO	0.048657	   102.95	0.17	(0.17%)
